VIN,make,model,year,color,price,is_rented,description
1N4AB7AP6DN830385,Kali,S2000,2000,Purple,395.17,true,NIHSS score 25
1J4RG4GK7AC890721,Bernardina,Pajero,1985,Fuscia,191.86,false,Unspecified superficial injury of knee
JH4CU4F42CC128468,Karel,MKS,2013,Pink,336.24,false,Xeroderma pigmentosum
1D7RB1GT6AS303352,Pancho,Patriot,2010,Green,316.63,true,"Unspecified injury of flexor muscle, fascia and tendon of left little finger at wrist and hand level, sequela"
SCFAB01A97G323021,Bunni,Continental Mark VII,1987,Goldenrod,479.31,true,"Monocular exotropia with other noncomitancies, left eye"
1N6BF0KXXFN076240,Simmonds,Fury,1964,Turquoise,128.78,false,"Injury of lumbosacral plexus, subsequent encounter"
WAUDL74FX6N052969,Cathie,Esprit,1998,Purple,277.58,true,"Nondisplaced fracture of fourth metatarsal bone, right foot, subsequent encounter for fracture with malunion"
3VW4S7AT4EM527568,Allissa,Spectra,2002,Aquamarine,211.2,true,Glaucoma with increased episcleral venous pressure
1GT010CG2CF259757,Dame,F150,1996,Puce,488.5,false,"External constriction, left lower leg, initial encounter"
2G4GR5GX1E9418208,Pinchas,LeSabre,1995,Turquoise,140.54,false,Burn of internal genitourinary organs
3N1AB6AP7AL517168,Demetris,Villager,1995,Yellow,386.96,true,"Open bite of vocal cord, initial encounter"
KMHTC6AD7CU656147,Linea,Camaro,2001,Red,370.2,false,"Laceration of flexor muscle, fascia and tendon of left index finger at wrist and hand level, subsequent encounter"
1G6AG5RX4E0203593,Feliza,Bonneville,1995,Maroon,256.51,true,"Nondisplaced oblique fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing"
WAUHFAFL5BA666192,Ettore,XL-7,2003,Goldenrod,390.27,false,Nondisplaced fracture of proximal phalanx of right thumb
WAUBFAFL9FN181395,Moria,Grand Prix,1966,Mauv,78.98,false,Unspecified injury of other urinary and pelvic organ
3LNHL2GC3BR002068,Grantham,Sienna,1998,Blue,248.42,true,"External constriction, right foot, initial encounter"
5UXFA93575L618505,Noami,Elise,2007,Yellow,376.97,false,"Epileptic seizures related to external causes, not intractable"
JTDJTUD30DD654115,Gwen,D150 Club,1992,Puce,142.5,false,"Poisoning by phenothiazine antipsychotics and neuroleptics, undetermined, subsequent encounter"
WBAFZ9C52CC094118,Gilda,VUE,2006,Orange,265.95,true,"Other fracture of shaft of left ulna, subsequent encounter for closed fracture with routine healing"
1G6DF8EGXA0423564,Val,Galant,2005,Pink,192.25,false,Granulation of postmastoidectomy cavity
2T1BPRHE6FC579583,Ellene,MX-6,1991,Goldenrod,121.82,true,"Nondisplaced segmental fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type I or II"
KMHFG4JG4EA454807,Maddy,Navigator L,2007,Violet,482.57,true,Acute nasopharyngitis [common cold]
5GAEV23D69J284891,Mischa,911,1998,Crimson,142.51,false,"Maternal care for other specified fetal problems, third trimester, other fetus"
1GTN1TEH3EZ445841,Skyler,Grand Prix,2001,Blue,256.53,true,"Nondisplaced fracture of intermediate cuneiform of left foot, subsequent encounter for fracture with malunion"
1D7RV1CP3AS850398,Georas,Legacy,2007,Turquoise,375.8,true,Displacement of implanted electronic neurostimulator of brain electrode (lead)
1FTNF2A59AE869126,Yalonda,Bronco,1984,Violet,232.39,false,"Other injury of duodenum, subsequent encounter"
JH4DC53895S251309,Brenna,Suburban,2006,Indigo,415.34,false,"Other specified injuries of larynx, subsequent encounter"
3C6JD6EPXCG399671,Lolita,Versa,2011,Turquoise,122.96,true,"Unspecified fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing"
19UUA8F59EA822122,Fredek,9000,1991,Aquamarine,24.48,false,Failure of sterile precautions during kidney dialysis and other perfusion
WBA3B5C59FP766172,Arman,X3,2010,Aquamarine,393.4,true,"Other mechanical complication of permanent sutures, subsequent encounter"
JM1NC2LF5C0797990,Skye,Lumina,1993,Orange,31.81,true,"Occupant of railway train or railway vehicle injured due to collision with military vehicle, sequela"
5BZAF0AA1FN375613,Nick,Explorer Sport Trac,2007,Crimson,344.59,true,"Nondisplaced fracture of base of second metacarpal bone. left hand, sequela"
3GYEK63NX2G639313,Shir,Fusion,2013,Mauv,315.93,false,"Dislocation of right scapula, subsequent encounter"
5GAKVCKD3DJ248711,Constance,Jetta,2008,Red,445.15,true,"Passenger on bus injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
3GYFK66N66G970721,Bern,S60,2005,Purple,430.76,false,"Secondary osteoarthritis, left shoulder"
WA1LGAFE3FD372347,Giff,Turbo Firefly,1988,Puce,142.81,true,Fracture of symphysis of mandible
2CTALMEC6B6831524,Zonnya,Passat,2005,Purple,199.6,true,"Other osteomyelitis, thigh"
3D7TT2CT5BG231826,Samuel,Firebird Formula,1992,Red,38.14,false,"Total (external) ophthalmoplegia, right eye"
3C63DPHL8CG886519,Xenos,Mazda6,2006,Green,41.23,false,"Familial chondrocalcinosis, multiple sites"
JM1BL1L38C1194450,Gale,Ghost,2012,Indigo,140.07,false,"Contusion of right little finger without damage to nail, sequela"
5TFAW5F14FX887747,Arlen,M3,1997,Green,72.7,false,"Torus fracture of upper end of right tibia, subsequent encounter for fracture with malunion"
1GKKRNED3BJ761114,Germain,X3,2006,Yellow,205.21,true,"Interstitial myositis, ankle and foot"
YV4902BZ8E1685331,Asa,Silverado 1500,2011,Crimson,246.06,false,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of 6 hours to 24 hours, sequela"
WBA3N9C57EK094543,Leland,430,1990,Indigo,87.55,false,"Anterior subluxation of left radial head, subsequent encounter"
1C3BCBEB7CN258906,Ralf,Avalanche,2011,Puce,225.51,true,"Pressure ulcer of right elbow, stage 2"
1C6RD6KP8CS583751,Niall,Five Hundred,2007,Teal,336.43,true,"Fracture of xiphoid process, subsequent encounter for fracture with delayed healing"
1G4GJ5E34DF715079,Violante,Frontier,2007,Crimson,208.66,true,Exposure to X-rays
1GYUKGEF0AR835797,Mallissa,Familia,1988,Crimson,109.47,false,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture"
1N6AA0ED3FN986193,Bailie,Silverado 3500,2002,Crimson,419.95,true,Burn of second degree of multiple sites of unspecified wrist and hand
1G6KF54912U009804,Georgiana,Carrera GT,2005,Puce,347.08,true,"Traumatic amputation (partial) of part of thorax, except breast"
1GTN1TEX9CZ955647,Leticia,Swift,1991,Orange,67.2,true,"Poisoning by intravenous anesthetics, assault, initial encounter"
JTHBB1BA1B2513701,Quinn,Range Rover Sport,2010,Crimson,32.13,true,"Pathological fracture in other disease, pelvis, subsequent encounter for fracture with routine healing"
WA1VMAFEXFD359340,Royall,XT,1991,Goldenrod,410.77,true,Cardiac arrest due to underlying cardiac condition
1HGCP2F34AA777882,Pattie,M-Class,2001,Maroon,472.73,false,Other chronic respiratory diseases originating in the perinatal period
1G6DJ8E34D0496719,Putnem,B-Series,2005,Indigo,189.81,false,"Air embolism (traumatic), initial encounter"
WBAGN63564D118771,Blakelee,LeMans,1993,Yellow,350.85,true,"Other fracture of shaft of left femur, subsequent encounter for closed fracture with malunion"
WBAFR9C52BD733252,Neale,CR-X,1984,Aquamarine,252.21,true,Apraxia
WVGAV7AX8CW850658,Justinian,NSX,1993,Violet,159.86,false,"Nondisplaced fracture of body of hamate [unciform] bone, right wrist, subsequent encounter for fracture with routine healing"
